"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"47588",10876509,"JA185174","03/11/2017 07:00:00 PM","011XX N LOREL AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",1524,15,37,25,"06",1140468,1907005,2017,"03/18/2017 03:49:14 PM",41.900912825,-87.75949722,"(41.900912825, -87.75949722)"
"10148",10935594,"JA251688","05/05/2017 11:25:00 AM","085XX W RASCHER AVE","1185","DECEPTIVE PRACTICE","DECEPTIVE COLLECTION PRACTICES","RESIDENCE","false","false",1614,16,41,76,"11",1118292,1935081,2017,"05/12/2017 03:47:54 PM",41.97833533,-87.840360199,"(41.97833533, -87.840360199)"
"40605",10888030,"JA197871","03/22/2017 07:00:00 PM","008XX N FAIRFIELD AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE-GARAGE","false","false",1211,12,26,24,"14",1157906,1905486,2017,"03/29/2017 03:52:53 PM",41.896406619,-87.695487277,"(41.896406619, -87.695487277)"
"46929",10879066,"JA188190","03/15/2017 04:20:00 PM","072XX S PHILLIPS AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",334,3,7,43,"08B",1193782,1857329,2017,"03/22/2017 03:49:49 PM",41.763454279,-87.565304885,"(41.763454279, -87.565304885)"
"7562",10938528,"JA255936","05/08/2017 07:50:00 PM","113XX S FOREST AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","APARTMENT","false","true",531,5,9,49,"26",1180267,1829859,2017,"05/15/2017 03:54:29 PM",41.688393658,-87.61567891,"(41.688393658, -87.61567891)"
"92080",10802403,"JA101597","01/02/2017 10:30:00 AM","028XX W OGDEN AVE","0810","THEFT","OVER $500","STREET","false","false",1022,10,24,29,"06",1157742,1892610,2017,"02/14/2017 03:49:42 PM",41.861076976,-87.696440558,"(41.861076976, -87.696440558)"
"26031",10910039,"JA222805","04/13/2017 12:10:00 AM","034XX W FRANKLIN BLVD","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",1121,11,27,23,"14",1153324,1903120,2017,"04/20/2017 03:58:21 PM",41.890006326,-87.712379085,"(41.890006326, -87.712379085)"
"52219",10868247,"JA175252","03/04/2017 09:00:00 PM","017XX N MANGO AVE","0420","BATTERY","AGGRAVATED:KNIFE/CUTTING INSTR","APARTMENT","false","false",2531,25,29,25,"04B",1137807,1910848,2017,"03/11/2017 03:50:12 PM",41.911506905,-87.769178583,"(41.911506905, -87.769178583)"
"86424",10814192,"JA113362","01/12/2017 02:30:00 PM","047XX S COTTAGE GROVE AVE","0560","ASSAULT","SIMPLE","DEPARTMENT STORE","false","false",223,2,4,38,"08A",1182389,1873821,2017,"02/14/2017 03:49:42 PM",41.808981361,-87.606551046,"(41.808981361, -87.606551046)"
"84525",10816353,"JA116260","01/14/2017 07:08:00 PM","020XX S PULASKI RD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",1012,10,24,29,"08B",1150028,1890029,2017,"02/14/2017 03:49:42 PM",41.854147937,-87.724824383,"(41.854147937, -87.724824383)"
